PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked
1,1,1,Margaret Walker,female,51.4,0,0,PC00000,264.58,C
2,1,1,Fredrick Wilson,male,55.3,0,0,PC00001,235.13,S
3,1,1,Fredrick Smith,male,51.8,4,0,451854,108.7,S
4,1,1,Alice Smith,female,,0,0,477927,80.5,S
5,0,3,George Taylor,male,,1,0,263718,21.61,C
6,0,2,Margaret Wilson,male,19.3,0,0,635194,46.31,S
7,1,2,Sarah Taylor,female,24.3,3,0,PC00006,72.65,S
8,1,1,James Smith,female,2.7,1,0,741253,214.78,Q
9,0,3,Lillian Brown,male,25.3,0,1,468113,22.13,S
10,1,2,Sarah Davies,male,,0,1,486041,45.95,S
11,0,2,Mary Johnson,female,23.7,1,1,PC00010,71.41,C
12,0,2,Rosa Taylor,male,32.4,0,0,PC00011,14.91,S
13,0,3,Mary Evans,female,12.7,1,1,116371,20.29,S
14,1,1,George Green,male,60.3,0,0,119643,279.94,S
15,1,3,Edward Green,female,9.6,0,3,295007,35.85,S
16,0,2,Alice Clark,male,15.2,0,0,223063,19.51,Q
17,0,3,Mary Brown,male,4.6,0,2,410114,12.37,S
18,1,2,Alice Wilson,male,27.1,3,1,189307,34.74,S
19,1,2,Lillian Walker,male,9.6,0,0,535454,53.24,Q
20,1,3,Henry Clark,female,60.0,0,1,167823,34.54,S
21,0,3,William Roberts,male,,0,2,132977,22.1,S
22,1,1,Edward Wright,male,24.1,1,0,119704,246.04,S
23,1,1,Fredrick Walker,female,35.7,3,0,620985,71.19,S
24,0,3,Sarah Green,male,8.6,0,0,504225,22.32,S
25,0,1,John Johnson,male,65.0,1,0,480458,298.59,S
26,1,1,Alice Wilson,female,56.2,0,0,PC00025,198.02,S
27,1,3,Margaret Smith,male,14.3,0,0,PC00026,22.51,Q
28,1,1,Fredrick Thomas,female,54.9,0,0,PC00027,151.14,S
29,1,1,William Roberts,male,,1,0,PC00028,261.23,Q
30,1,1,Alice Wilson,female,33.3,0,1,611850,198.12,C
31,0,1,William Smith,female,50.7,0,0,428814,206.3,S
32,1,2,Edward Evans,female,,1,2,855170,65.77,S
33,1,3,Fredrick Brown,male,,0,0,532621,39.86,S
34,0,1,Edward Taylor,female,19.5,0,0,776763,119.26,S
35,0,1,Sarah Clark,female,39.6,0,2,348256,101.57,S
36,0,3,William King,male,29.8,1,0,365324,9.3,C
37,1,3,William Davies,male,33.7,0,0,863914,18.72,S
38,1,2,Anna Wright,female,13.8,1,2,PC00037,16.1,S
39,1,1,Margaret Davies,female,25.4,0,2,601957,139.48,S
40,0,3,Anna Clark,male,55.9,0,0,172725,36.36,C
41,0,2,Thomas Brown,female,21.1,0,0,277992,65.9,S
42,0,2,Helen Brown,male,20.5,0,0,PC00041,17.94,S
43,0,3,Lillian White,male,4.3,0,0,659346,15.79,Q
44,1,2,William Clark,female,,1,0,PC00043,56.34,S
45,0,2,Lillian Wilson,male,16.3,2,0,410158,29.34,C
46,1,1,William King,male,,0,0,668455,94.55,S
47,0,3,James Hall,male,37.5,1,0,302014,18.07,C
48,1,3,Helen Wilson,male,12.7,0,0,578359,29.53,C
49,1,3,James Clark,male,22.2,0,0,397465,5.93,C
50,1,1,Fredrick Roberts,male,41.9,0,0,PC00049,296.68,S
51,0,3,Lillian Brown,male,21.8,0,0,850636,12.92,S
52,0,3,Lillian Clark,male,25.3,1,0,260433,20.8,S
